Basisschool advies,Voorkeur 1,Voorkeur 2,Voorkeur 3,Voorkeur 4,Voorkeur 5,Voorkeur 6,Voorkeur 7,Voorkeur 8,Voorkeur 9,Voorkeur 10,Voorkeur 11,Voorkeur 12,Voorkeur 13,Voorkeur 14,Voorkeur 15,Voorkeur 16,Voorkeur 17,Voorkeur 18,Voorkeur 19,Voorkeur 20,Voorkeur 21,Voorkeur 22
havo,Lumion - v.a. havo,Spinoza Lyceum - v.a. havo,Montessori Lyceum Amsterdam - v.a. havo,Spinoza20first - v.a. vmbo-t,Cartesius Lyceum - v.a. havo,DENISE - Denise Havo - v.a. havo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Gerrit van der Veen College - v.a. havo,CSB - v.a. vmbo-t,Hervormd Lyceum Zuid - Universalis - vwo,Montessori Lyceum Oostpoort - v.a. vmbo-b,Spring High - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,St. Nicolaaslyceum - v.a. havo,Hubertus & Berkhoff - Tweetalig - vmbo-k,Cornelius Haga Lyceum - v.a. havo,Fons Vitae Lyceum - v.a. havo,Marcanti College - v.a. havo,Havo de Hof - v.a. havo,Pieter Nieuwland College - vwo,Comenius Lyceum Amsterdam - Kansrijk VWO - havo/vwo,Comenius Lyceum Amsterdam - v.a. havo,Over-Y - v.a. vmbo-t,Sweelinck College - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,CSB - v.a. vmbo-t,Cartesius Lyceum - v.a. havo,Calandlyceum - havo,Open Schoolgemeenschap Bijlmer - v.a. havo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Berlage Lyceum - Tweetalig - v.a. havo,Geert Groote College - v.a. havo,Vinse School - v.a. vmbo-t,IVKO - v.a. vmbo-t,Comenius Lyceum Amsterdam - v.a. havo,Spring High - v.a. vmbo-t,Vox College - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,St. Nicolaaslyceum - v.a. havo,Fons Vitae Lyceum - v.a. havo,Pieter Nieuwland College - v.a. havo,Gerrit van der Veen College - v.a. havo,Marcanti College - v.a. havo,Calandlyceum - vmbo-t,De nieuwe Havo - v.a. havo,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,IJburg College - v.a. vmbo-t,Spring High - v.a. vmbo-t,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,Ir. Lely Lyceum - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Ir. Lely Lyceum - Technasium - v.a. vmbo-t,Calandlyceum - vmbo-t,Ir. Lely Lyceum - Kansrijk HAVO - vmbo-t/havo,Geert Groote College - v.a. havo,Havo de Hof - v.a. havo,Vox College - v.a. havo,College De Meer - Kansrijk HAVO (icm Havo de Hof) - vmbo-t/havo,Amsterdams Beroepscollege Noorderlicht - vmbo-k,Alasca - v.a. havo,Hervormd Lyceum Zuid - Universalis - vwo,Montessori Lyceum Amsterdam - v.a. vmbo-t,Lumion - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Fons Vitae Lyceum - v.a. havo,Hervormd Lyceum Zuid - v.a. havo,Gerrit van der Veen College - v.a. havo,IJburg College - v.a. vmbo-t,Xplore - v.a. vmbo-t,Calandlyceum - Technasium - havo/vwo,Zuiderlicht College - Talentendansklas - v.a. vmbo-b,Vox College - vwo,Geert Groote College - Kansrijk VWO - havo/vwo,Gerrit van der Veen College - vwo,Calandlyceum - Kansrijk VWO - havo/vwo,Sweelinck College - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Lumion - v.a. havo,Comenius Lyceum Amsterdam - vwo,Pieter Nieuwland College - v.a. havo,Vossius Gymnasium - vwo,Montessori Lyceum Oostpoort - Kansrijk VWO - havo/vwo,Berlage Lyceum - Tweetalig - v.a. havo,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,Spinoza Lyceum - Muziekplus - v.a. havo,Damstede - vwo,CSB - Kansrijk HAVO - vmbo-t/havo,Mediacollege Amsterdam - Kansrijk Kader - vmbo-b/k,Sweelinck College - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Ir. Lely Lyceum - v.a. vmbo-t,CSB - Kansrijk VWO - havo/vwo,Montessori Lyceum Amsterdam - v.a. havo,College De Meer - Kansrijk HAVO (icm Havo de Hof) - vmbo-t/havo,Berlage Lyceum - Tweetalig - v.a. havo,Hervormd Lyceum West - v.a. havo,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,Bernard Nieuwentijt College (Monnickendam) - v.a. havo,Mediacollege Amsterdam - v.a. vmbo-b,Zuiderlicht College - Kansrijk Kader - vmbo-b/k,SvPO Amsterdam - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Pieter Nieuwland College - v.a. havo,Geert Groote College - v.a. havo,Havo de Hof - v.a. havo,De nieuwe Havo - v.a. havo,Marcanti College - v.a. vmbo-b,Spinoza Lyceum - Muziekplus - v.a. havo,Hervormd Lyceum West - Tweetalig - vwo,Damstede - v.a. havo,Vox College - Kansrijk HAVO - vmbo-t/havo,Spring High - v.a. vmbo-t,Sweelinck College - Kansrijk HAVO - vmbo-t/havo,Marcanti College - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Pieter Nieuwland College - v.a. havo,Gerrit van der Veen College - v.a. havo,Damstede - vwo,Berlage Lyceum - Tweetalig - v.a. havo,Montessori Lyceum Oostpoort - v.a. havo,Comenius Lyceum Amsterdam - Kansrijk HAVO - vmbo-t/havo,Cygnus gymnasium - vwo,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,Het 4e Gymnasium - vwo,Clusius College - v.a. vmbo-b,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. vmbo-t,St. Nicolaaslyceum - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Damstede - v.a. havo,Xplore - v.a. vmbo-t,Over-Y - havo,Open Schoolgemeenschap Bijlmer - v.a. havo,Calandlyceum - Technasium - havo/vwo,Fons Vitae Lyceum - vwo,SvPO Amsterdam - v.a. havo,Alasca - v.a. havo,Berlage Lyceum - Tweetalig - vwo,Clusius College - Kansrijk Kader - vmbo-b/k,Vox College - Kansrijk VWO - havo/vwo,Hervormd Lyceum Zuid - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Havo de Hof - v.a. havo,Metis Montessori Lyceum - Technasium vwo - vwo,Spinoza20first - v.a. vmbo-t,Spinoza Lyceum - Gymnasium - vwo,DENISE - Denise Havo - v.a. havo,Calandlyceum - LOOT - v.a. vmbo-t,Mundus College - v.a. vmbo-b,CSB - v.a. vmbo-t,Hervormd Lyceum Zuid - vwo,Over-Y - v.a. vmbo-t,Sweelinck College - v.a. vmbo-t,Lumion - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,St. Nicolaaslyceum - v.a. havo,Comenius Lyceum Amsterdam - vwo,Hervormd Lyceum West - Tweetalig - v.a. havo,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,Amsterdams Beroepscollege Noorderlicht - vmbo-k,Ir. Lely Lyceum - Kansrijk VWO - havo/vwo,Montessori Lyceum Oostpoort - v.a. vmbo-b,Pieter Nieuwland College - plus - vwo,Calvijn College - v.a. vmbo-b,Marcanti College - v.a. vmbo-t,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,De Amsterdamse MAVO - v.a. vmbo-t,Clusius College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Spinoza Lyceum - v.a. havo,Zuiderlicht College - Talentendansklas - v.a. vmbo-b,Vox College - v.a. havo,SvPO Amsterdam - v.a. havo,SvPO Amsterdam - vwo,Lumion - Kansrijk VWO - havo/vwo,Bredero Mavo - v.a. vmbo-t,Hervormd Lyceum West - v.a. vmbo-t,Hubertus & Berkhoff - v.a. vmbo-b,De Amsterdamse MAVO - v.a. vmbo-t,Vox College - v.a. vmbo-b,Huygens College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
